ID,Income,Kids,Teens,Age,Divorced,Married,Single,Together,Widow,Basic,Graduate,Master,PhD,State
1046,172550,1,1,66,0,1,0,0,0,0,0,0,1,State-New York
1047,165486,0,1,63,0,0,0,0,1,0,1,0,0,State-Texas
1048,179143,0,0,56,0,1,0,0,0,0,0,1,0,State-Other
1049,135790,1,0,43,0,0,1,0,0,0,1,0,0,State-California
1050,182582,0,0,43,1,0,0,0,0,0,1,0,0,State-Florida
1051,166373,1,1,42,0,1,0,0,0,0,1,0,0,State-Illinois
1052,182384,0,0,65,0,0,0,1,0,0,0,1,0,State-New York
1053,170287,0,0,54,1,0,0,0,0,0,1,0,0,State-Texas
1054,127938,1,0,32,0,0,1,0,0,0,1,0,0,State-Other
1055,155954,0,1,52,0,1,0,0,0,0,0,0,1,State-California
1056,175777,0,0,38,0,0,1,0,0,0,0,1,0,State-Florida
1057,166653,1,1,45,0,0,0,1,0,0,1,0,0,State-Illinois
1058,161823,0,1,68,0,0,1,0,0,0,1,0,0,State-New York
1059,167680,0,1,69,0,0,0,0,1,0,0,0,1,State-Texas
1060,170666,0,0,72,0,0,0,1,0,0,1,0,0,State-Other
1061,125721,1,0,49,0,1,0,0,0,0,1,0,0,State-California
1062,132474,1,1,53,0,0,0,1,0,0,1,0,0,State-Florida
1063,188194,0,1,41,0,0,1,0,0,0,0,0,0,State-Illinois
1064,169096,0,1,62,0,0,0,1,0,0,1,0,0,State-New York
1065,174854,1,2,50,0,0,0,1,0,0,1,0,0,State-Texas
1066,166991,0,0,66,0,1,0,0,0,0,0,1,0,State-Other
1067,165031,0,1,61,0,1,0,0,0,0,1,0,0,State-California
1068,160631,1,1,45,0,1,0,0,0,0,0,0,1,State-Florida
1069,128332,0,0,68,0,1,0,0,0,0,1,0,0,State-Illinois
1070,140246,1,0,43,1,0,0,0,0,0,1,0,0,State-New York
1071,175251,0,0,48,0,1,0,0,0,0,0,1,0,State-Texas
1072,175825,0,0,44,0,0,1,0,0,0,1,0,0,State-Other
1073,126326,0,0,44,0,0,0,1,0,0,0,0,0,State-California
1074,156046,0,0,55,0,0,0,1,0,0,1,0,0,State-Florida
1075,129760,1,0,35,0,0,1,0,0,0,1,0,0,State-Illinois
1076,126304,1,0,51,0,1,0,0,0,0,1,0,0,State-New York
1077,123559,1,0,47,0,1,0,0,0,0,0,0,0,State-Texas
1078,138620,0,0,57,0,0,0,1,0,0,0,1,0,State-Other
1079,181361,0,0,33,1,0,0,0,0,0,1,0,0,State-California
1080,129440,1,1,60,0,1,0,0,0,0,1,0,0,State-Florida
1081,136138,1,1,50,0,1,0,0,0,0,0,1,0,State-Illinois
1082,150388,0,1,63,0,0,1,0,0,0,1,0,0,State-New York
1083,179593,0,0,47,0,1,0,0,0,0,1,0,0,State-Texas
1084,154178,0,1,53,0,0,0,1,0,0,1,0,0,State-Other
1085,142394,1,0,48,0,0,1,0,0,0,0,1,0,State-California
1086,123626,1,0,50,0,1,0,0,0,0,0,0,1,State-Florida
1087,130096,1,0,37,0,1,0,0,0,0,1,0,0,State-Illinois
1088,147916,0,1,60,0,0,0,0,1,0,1,0,0,State-New York
1089,151813,1,1,48,1,0,0,0,0,0,1,0,0,State-Texas
1090,178497,0,0,69,0,1,0,0,0,0,0,0,0,State-Other
1091,150150,0,0,37,0,1,0,0,0,0,0,0,1,State-California
1092,147823,0,1,60,0,0,1,0,0,0,0,0,0,State-Florida
1093,134554,0,1,61,0,0,1,0,0,0,0,0,1,State-Illinois
1094,185693,0,1,41,0,0,0,1,0,0,1,0,0,State-New York
1095,165846,0,0,75,0,1,0,0,0,0,0,0,1,State-Texas
1096,187195,0,0,61,0,1,0,0,0,0,1,0,0,State-Other
1097,124594,1,0,41,0,0,0,1,0,1,0,0,0,State-California
1098,149096,1,1,56,0,1,0,0,0,0,1,0,0,State-Florida
1099,152413,0,2,51,0,1,0,0,0,0,1,0,0,State-Illinois
1100,138557,1,0,42,0,0,1,0,0,0,1,0,0,State-New York
1101,189058,0,0,60,0,1,0,0,0,0,0,1,0,State-Texas
1102,177298,0,1,41,0,0,0,1,0,0,1,0,0,State-Other
1103,168126,0,0,29,0,0,1,0,0,0,0,0,1,State-California
1104,157288,0,1,57,0,0,0,1,0,0,0,1,0,State-Florida
1105,186037,0,0,29,0,0,1,0,0,0,1,0,0,State-Illinois
1106,143974,1,0,40,0,1,0,0,0,0,0,0,1,State-New York
1107,150785,1,1,58,0,0,1,0,0,0,1,0,0,State-Texas
1108,190765,0,0,50,0,1,0,0,0,0,1,0,0,State-Other
1109,136550,1,0,42,0,1,0,0,0,0,0,0,0,State-California
1110,130753,1,1,53,0,0,0,1,0,0,0,0,0,State-Florida
1111,121918,1,0,51,0,0,0,1,0,0,1,0,0,State-Illinois
1112,156129,0,1,67,0,0,0,1,0,0,0,1,0,State-New York
1113,132557,1,0,53,0,0,1,0,0,0,0,1,0,State-Texas
1114,119510,2,0,35,0,1,0,0,0,0,0,1,0,State-Other
1115,130992,1,0,44,1,0,0,0,0,0,1,0,0,State-California
1116,201970,0,0,37,0,0,1,0,0,0,1,0,0,State-Florida
1117,171488,0,0,55,0,0,0,1,0,0,0,0,0,State-Illinois
1118,179607,0,0,36,0,0,1,0,0,0,1,0,0,State-New York
1119,154348,1,1,67,0,1,0,0,0,0,0,1,0,State-Texas
1120,177376,1,1,64,0,0,0,1,0,0,0,0,1,State-Other
1121,162998,0,1,68,0,1,0,0,0,0,1,0,0,State-California
1122,161331,1,1,62,0,0,1,0,0,0,0,1,0,State-Florida
1123,173448,0,0,51,0,1,0,0,0,0,1,0,0,State-Illinois
1124,141551,1,1,56,0,1,0,0,0,0,0,0,1,State-New York
1125,162981,0,0,53,0,0,0,1,0,0,0,0,1,State-Texas
1126,109548,1,0,44,1,0,0,0,0,1,0,0,0,State-Other
1127,133762,2,1,61,0,1,0,0,0,0,0,0,1,State-California
1128,135860,1,1,47,0,0,1,0,0,0,0,0,1,State-Florida
1129,136921,1,1,55,1,0,0,0,0,0,0,0,1,State-Illinois
1130,192859,0,0,28,0,0,1,0,0,0,0,1,0,State-New York
1131,165104,0,1,44,0,0,0,1,0,0,0,1,0,State-Texas
1132,186111,0,0,58,0,1,0,0,0,0,1,0,0,State-Other
1133,168352,0,1,46,0,0,1,0,0,0,0,0,1,State-California
1134,141883,1,0,32,0,0,0,1,0,0,1,0,0,State-Florida
1135,159809,0,2,44,0,1,0,0,0,0,1,0,0,State-Illinois
1136,123957,1,0,45,0,1,0,0,0,0,1,0,0,State-New York
1137,138547,1,0,39,0,0,0,1,0,0,1,0,0,State-Texas
1138,135688,2,1,47,0,1,0,0,0,0,0,0,0,State-Other
1139,149605,0,0,54,0,1,0,0,0,0,0,1,0,State-California
1140,159354,0,2,67,0,1,0,0,0,0,0,1,0,State-Florida
1141,165747,0,1,51,0,1,0,0,0,0,1,0,0,State-Illinois
1142,146344,0,1,48,0,0,0,1,0,0,0,0,0,State-New York
1143,134176,1,0,32,0,0,1,0,0,0,1,0,0,State-Texas
1144,161010,0,1,68,0,0,0,1,0,0,0,0,1,State-Other
1145,169372,0,0,71,0,0,0,1,0,0,1,0,0,State-California
1146,149967,0,1,62,0,0,1,0,0,0,1,0,0,State-Florida
1147,160199,1,2,42,0,0,1,0,0,0,1,0,0,State-Illinois
1148,155375,0,1,43,0,0,0,1,0,0,1,0,0,State-New York
1149,180317,0,0,65,0,0,1,0,0,0,1,0,0,State-Texas
1150,130523,2,1,62,0,0,1,0,0,0,0,1,0,State-Other
1151,170356,0,0,75,0,1,0,0,0,0,0,0,1,State-California
1152,123228,1,0,36,0,1,0,0,0,0,1,0,0,State-Florida
1153,174165,0,0,45,1,0,0,0,0,0,0,0,1,State-Illinois
1154,143482,2,1,54,0,0,0,1,0,0,1,0,0,State-New York
1155,162551,0,0,67,1,0,0,0,0,0,1,0,0,State-Texas
1156,152332,0,0,61,1,0,0,0,0,0,1,0,0,State-Other
1157,166951,0,0,32,0,0,1,0,0,0,1,0,0,State-California
1158,126091,1,1,63,0,0,0,1,0,0,1,0,0,State-Florida
1159,133456,1,1,55,0,0,0,1,0,0,1,0,0,State-Illinois
1160,128718,1,0,38,0,1,0,0,0,0,1,0,0,State-New York
1161,150447,2,0,50,0,1,0,0,0,0,1,0,0,State-Texas
1162,153537,1,1,61,0,0,0,1,0,0,0,0,1,State-Other
1163,152074,0,1,53,0,0,1,0,0,0,1,0,0,State-California
1164,180427,0,1,45,0,1,0,0,0,0,0,0,1,State-Florida
1165,183837,0,0,72,0,1,0,0,0,0,0,0,1,State-Illinois
1166,138853,1,1,50,0,1,0,0,0,0,0,0,1,State-New York
1167,138285,2,1,61,0,0,0,1,0,0,1,0,0,State-Texas
1168,178497,0,0,69,0,1,0,0,0,0,0,0,0,State-Other
1169,151650,0,1,44,0,1,0,0,0,0,0,0,1,State-California
1170,116248,1,0,32,0,1,0,0,0,0,0,0,0,State-Florida
1171,166835,0,0,74,0,1,0,0,0,0,0,1,0,State-Illinois
1172,130477,1,0,36,0,1,0,0,0,0,0,1,0,State-New York
1173,128249,0,0,59,0,1,0,0,0,1,0,0,0,State-Texas
1174,125271,1,0,37,0,1,0,0,0,0,1,0,0,State-Other
1175,132303,0,1,50,0,0,1,0,0,0,0,0,1,State-California
1176,161286,0,1,54,0,1,0,0,0,0,1,0,0,State-Florida
1177,174068,0,0,44,0,1,0,0,0,0,1,0,0,State-Illinois
1178,145759,1,1,56,0,1,0,0,0,0,0,0,1,State-New York
1179,124882,1,0,42,0,0,0,1,0,1,0,0,0,State-Texas
1180,166973,0,0,31,0,0,0,1,0,0,0,0,1,State-Other
1181,138872,1,0,32,0,1,0,0,0,0,1,0,0,State-California
1182,151148,1,1,47,0,1,0,0,0,0,1,0,0,State-Florida
1183,131353,1,1,43,0,1,0,0,0,0,1,0,0,State-Illinois
1184,169661,0,0,40,0,1,0,0,0,0,0,1,0,State-New York
1185,180067,0,0,66,0,1,0,0,0,0,1,0,0,State-Texas
1186,186718,0,0,66,0,1,0,0,0,0,1,0,0,State-Other
1187,146854,1,1,47,0,0,1,0,0,0,0,0,1,State-California
1188,169142,0,1,68,1,0,0,0,0,0,1,0,0,State-Florida
1189,175922,0,0,52,0,0,1,0,0,0,1,0,0,State-Illinois
1190,163693,0,1,42,1,0,0,0,0,0,1,0,0,State-New York
1191,202160,0,0,43,0,0,0,1,0,0,0,0,1,State-Texas
1192,140637,1,1,55,0,0,1,0,0,0,0,0,1,State-Other
1193,118890,0,0,36,0,0,1,0,0,0,0,1,0,State-California
1194,129604,1,0,32,0,0,0,1,0,0,1,0,0,State-Florida
1195,148721,1,1,57,1,0,0,0,0,0,0,1,0,State-Illinois
1196,144794,0,1,54,0,1,0,0,0,0,1,0,0,State-New York
1197,164497,0,1,66,1,0,0,0,0,0,1,0,0,State-Texas
1198,146097,0,1,64,0,0,0,1,0,0,1,0,0,State-Other
1199,177972,0,0,66,0,0,0,1,0,0,1,0,0,State-California
1200,144377,1,1,52,0,1,0,0,0,0,0,0,1,State-Florida
1201,146014,1,1,46,0,0,0,1,0,0,0,1,0,State-Illinois
1202,170951,0,0,35,0,1,0,0,0,0,1,0,0,State-New York
1203,141443,1,0,43,0,1,0,0,0,0,1,0,0,State-Texas
1204,152195,2,1,42,0,0,1,0,0,0,0,0,0,State-Other
1205,183790,0,0,72,0,1,0,0,0,0,0,1,0,State-California
1206,144551,0,1,66,0,0,0,0,1,0,0,1,0,State-Florida
1207,169508,1,0,40,0,0,0,1,0,0,1,0,0,State-Illinois
1208,145204,1,0,32,0,0,0,1,0,0,0,0,0,State-New York
1209,172460,0,0,51,0,1,0,0,0,0,1,0,0,State-Texas
1210,177622,0,2,50,0,0,0,1,0,0,0,0,1,State-Other
1211,130732,1,0,40,0,1,0,0,0,0,0,0,1,State-California
1212,163887,0,1,58,1,0,0,0,0,0,1,0,0,State-Florida
1213,142011,1,0,42,0,0,0,1,0,0,1,0,0,State-Illinois
1214,151369,0,1,44,0,0,0,1,0,0,1,0,0,State-New York
1215,151537,0,1,68,1,0,0,0,0,0,1,0,0,State-Texas
1216,179930,0,0,48,0,1,0,0,0,0,0,0,1,State-Other
1217,134320,1,0,34,0,0,0,1,0,0,0,0,1,State-California
1218,137070,1,1,54,0,0,1,0,0,0,1,0,0,State-Florida
1219,181975,0,1,58,1,0,0,0,0,0,0,0,0,State-Illinois
1220,138590,1,0,49,0,0,0,1,0,0,1,0,0,State-New York
1221,115033,0,0,69,0,0,1,0,0,0,1,0,0,State-Texas
1222,162745,0,1,55,0,1,0,0,0,0,0,0,1,State-Other
1223,122212,1,0,45,0,1,0,0,0,0,0,0,0,State-California
1224,123661,1,0,38,0,0,0,1,0,0,0,1,0,State-Florida
1225,179761,0,1,62,0,0,1,0,0,0,0,0,1,State-Illinois
1226,107500,1,0,47,0,0,1,0,0,0,1,0,0,State-New York
1227,173455,0,0,52,0,0,0,0,1,0,1,0,0,State-Texas
1228,164961,0,1,62,0,0,0,1,0,0,1,0,0,State-Other
1229,122804,1,0,49,0,0,1,0,0,0,1,0,0,State-California
1230,173687,0,0,30,0,1,0,0,0,0,1,0,0,State-Florida
1231,161074,0,1,62,0,1,0,0,0,0,1,0,0,State-Illinois
1232,131686,1,1,56,0,1,0,0,0,0,0,0,1,State-New York
1233,180134,1,0,48,0,1,0,0,0,0,1,0,0,State-Texas
1234,175027,0,1,67,0,1,0,0,0,0,1,0,0,State-Other
1235,167546,0,0,32,0,1,0,0,0,0,0,0,1,State-California
1236,165176,0,1,51,0,0,0,1,0,0,0,1,0,State-Florida
1237,131160,1,0,45,0,0,1,0,0,0,0,1,0,State-Illinois
1238,129938,1,0,35,0,0,1,0,0,0,1,0,0,State-New York
1239,202692,0,0,46,1,0,0,0,0,0,1,0,0,State-Texas
1240,126490,0,0,62,0,0,0,1,0,0,0,0,0,State-Other
1241,175702,1,1,53,0,0,0,1,0,0,1,0,0,State-California
1242,130899,1,0,46,0,0,1,0,0,0,0,0,1,State-Florida
1243,163342,0,1,59,0,0,0,1,0,0,0,0,1,State-Illinois
1244,145989,0,1,56,0,0,1,0,0,0,1,0,0,State-New York
1245,118701,1,1,56,0,0,1,0,0,0,1,0,0,State-Texas
1246,140737,2,1,63,0,0,1,0,0,0,0,0,1,State-Other
1247,115287,1,0,41,1,0,0,0,0,0,1,0,0,State-California
1248,169674,0,2,52,1,0,0,0,0,0,0,0,1,State-Florida
1249,144159,1,0,50,0,1,0,0,0,0,0,1,0,State-Illinois
1250,137717,1,0,42,0,1,0,0,0,0,0,0,1,State-New York
1251,143776,1,1,68,0,0,0,1,0,0,0,1,0,State-Texas
1252,138179,1,1,54,0,1,0,0,0,0,0,1,0,State-Other
1253,180124,0,0,57,0,1,0,0,0,0,1,0,0,State-California
1254,138097,1,1,50,0,1,0,0,0,0,0,0,1,State-Florida
1255,172940,0,0,50,0,1,0,0,0,0,1,0,0,State-Illinois
1256,122070,1,0,50,0,0,0,1,0,0,1,0,0,State-New York
1257,169267,0,0,67,0,0,1,0,0,0,1,0,0,State-Texas
1258,131788,1,0,37,0,0,1,0,0,0,0,1,0,State-Other
1259,161905,0,1,45,0,0,0,1,0,0,0,0,1,State-California
1260,129315,1,1,60,0,1,0,0,0,0,1,0,0,State-Florida
1261,133378,1,1,57,1,0,0,0,0,0,1,0,0,State-Illinois
1262,166313,0,1,57,0,0,0,1,0,0,0,0,1,State-New York
1263,160714,0,0,64,0,0,1,0,0,0,1,0,0,State-Texas
1264,177882,0,0,39,0,0,0,1,0,0,0,1,0,State-Other
1265,169867,0,0,34,0,0,1,0,0,0,0,0,1,State-California
1266,163841,0,1,52,1,0,0,0,0,0,0,1,0,State-Florida
1267,124480,1,0,39,0,1,0,0,0,1,0,0,0,State-Illinois
1268,151369,0,1,44,0,0,0,1,0,0,1,0,0,State-New York
1269,137760,0,0,74,0,0,0,1,0,0,1,0,0,State-Texas
1270,165640,0,1,46,0,0,0,1,0,0,0,0,1,State-Other
1271,144319,1,1,45,0,1,0,0,0,0,0,1,0,State-California
1272,130631,1,0,46,0,1,0,0,0,0,1,0,0,State-Florida
1273,175278,0,0,68,0,0,0,1,0,0,1,0,0,State-Illinois
1274,150898,1,1,64,0,0,0,1,0,0,0,1,0,State-New York
1275,179946,0,0,54,0,0,0,0,1,0,1,0,0,State-Texas
1276,135416,0,0,71,1,0,0,0,0,0,0,1,0,State-Other
1277,132414,0,0,36,0,0,0,1,0,0,0,0,0,State-California
1278,138361,1,0,51,0,0,0,1,0,0,1,0,0,State-Florida
1279,182497,0,0,40,0,1,0,0,0,0,1,0,0,State-Illinois
1280,116626,2,0,49,0,0,0,1,0,0,1,0,0,State-New York
1281,129672,1,1,55,0,0,0,1,0,0,1,0,0,State-Texas
1282,155951,0,1,68,0,0,0,1,0,0,0,1,0,State-Other
1283,135388,1,0,32,1,0,0,0,0,0,0,0,0,State-California
1284,142386,1,0,34,0,0,0,1,0,0,0,1,0,State-Florida
1285,168627,0,0,38,0,0,1,0,0,0,1,0,0,State-Illinois
1286,157912,0,1,55,1,0,0,0,0,0,0,0,1,State-New York
1287,135246,1,1,62,1,0,0,0,0,0,1,0,0,State-Texas
1288,158821,0,1,64,0,0,0,1,0,0,0,0,0,State-Other
1289,146377,1,0,42,0,1,0,0,0,0,0,0,1,State-California
1290,139747,1,0,32,0,0,1,0,0,0,1,0,0,State-Florida
1291,123976,1,0,36,0,0,0,1,0,0,1,0,0,State-Illinois
1292,180950,0,0,59,0,1,0,0,0,0,0,1,0,State-New York
1293,127038,0,0,54,0,0,0,0,1,0,1,0,0,State-Texas
1294,177457,0,0,73,0,0,1,0,0,0,1,0,0,State-Other
1295,164100,0,1,56,0,1,0,0,0,0,0,1,0,State-California
1296,142670,0,0,28,0,0,0,1,0,0,0,1,0,State-Florida
1297,112571,1,0,44,1,0,0,0,0,0,1,0,0,State-Illinois
1298,122574,2,1,53,0,1,0,0,0,0,1,0,0,State-New York
1299,170893,0,0,44,0,0,1,0,0,0,0,1,0,State-Texas
1300,154198,1,1,54,0,1,0,0,0,0,1,0,0,State-Other
1301,128839,1,1,64,0,0,0,1,0,0,0,1,0,State-California
1302,140321,1,1,48,0,1,0,0,0,0,1,0,0,State-Florida
1303,166503,1,0,35,0,0,1,0,0,0,1,0,0,State-Illinois
1304,130833,1,1,69,0,1,0,0,0,0,1,0,0,State-New York
1305,164795,0,1,49,0,1,0,0,0,0,1,0,0,State-Texas
1306,134421,1,0,46,0,1,0,0,0,0,1,0,0,State-Other
1307,147025,1,1,55,1,0,0,0,0,0,0,0,1,State-California
1308,164325,0,1,59,1,0,0,0,0,0,0,0,1,State-Florida
1309,140464,0,1,67,0,0,1,0,0,0,1,0,0,State-Illinois
1310,162187,0,0,63,0,1,0,0,0,0,1,0,0,State-New York
1311,114849,1,0,44,1,0,0,0,0,0,0,0,1,State-Texas
1312,127255,1,0,36,0,1,0,0,0,0,1,0,0,State-Other
1313,154432,2,1,70,0,1,0,0,0,0,0,0,1,State-California
1314,129999,1,0,34,0,0,1,0,0,0,0,0,1,State-Florida
1315,124072,1,0,37,0,0,1,0,0,0,1,0,0,State-Illinois
1316,133996,0,0,31,0,0,1,0,0,0,0,0,1,State-New York
1317,166334,0,1,64,0,1,0,0,0,0,0,0,1,State-Texas
1318,135178,1,0,49,0,1,0,0,0,0,0,1,0,State-Other
1319,122010,1,0,37,0,0,0,1,0,0,1,0,0,State-California
1320,162204,0,2,60,1,0,0,0,0,0,1,0,0,State-Florida
1321,175693,0,0,52,1,0,0,0,0,0,1,0,0,State-Illinois
1322,130675,1,0,48,0,1,0,0,0,0,1,0,0,State-New York
1323,183003,0,0,55,0,0,0,1,0,0,1,0,0,State-Texas
1324,168655,0,0,32,0,0,1,0,0,0,1,0,0,State-Other
1325,141411,0,0,34,1,0,0,0,0,0,1,0,0,State-California
1326,155212,0,1,51,0,1,0,0,0,0,0,0,1,State-Florida
1327,159292,0,1,70,0,0,0,1,0,0,0,0,1,State-Illinois
1328,127190,1,0,47,0,0,0,1,0,1,0,0,0,State-New York
1329,182623,0,0,68,1,0,0,0,0,0,1,0,0,State-Texas
1330,144300,1,1,55,0,1,0,0,0,0,1,0,0,State-Other
1331,184835,0,0,50,1,0,0,0,0,0,1,0,0,State-California
1332,130372,1,1,49,0,0,0,0,1,0,1,0,0,State-Florida
1333,133181,1,0,44,0,1,0,0,0,0,0,1,0,State-Illinois
1334,171113,0,1,63,0,1,0,0,0,0,1,0,0,State-New York
1335,171952,1,0,34,0,1,0,0,0,0,1,0,0,State-Texas
1336,169759,0,0,54,0,0,1,0,0,0,0,0,1,State-Other
1337,172099,0,0,46,0,1,0,0,0,0,1,0,0,State-California
1338,160000,0,1,44,0,0,1,0,0,0,0,0,1,State-Florida
1339,138643,1,1,42,0,0,1,0,0,0,1,0,0,State-Illinois
1340,150737,0,1,65,0,1,0,0,0,0,1,0,0,State-New York
1341,168462,0,0,51,0,1,0,0,0,0,0,0,1,State-Texas
1342,165073,0,0,77,0,1,0,0,0,0,0,1,0,State-Other
1343,146681,0,2,72,0,0,0,1,0,0,0,0,1,State-California
1344,178618,0,0,63,0,1,0,0,0,0,1,0,0,State-Florida
1345,162187,0,1,51,0,0,0,0,1,0,0,0,1,State-Illinois
1346,128442,2,0,42,0,1,0,0,0,0,1,0,0,State-New York
1347,137717,1,0,42,0,1,0,0,0,0,0,0,1,State-Texas
1348,151479,1,1,53,0,1,0,0,0,0,1,0,0,State-Other
1349,154803,0,1,51,0,0,1,0,0,0,1,0,0,State-California
1350,179530,0,0,60,0,1,0,0,0,0,1,0,0,State-Florida
1351,131615,1,0,44,1,0,0,0,0,0,1,0,0,State-Illinois
1352,172025,0,0,58,0,0,0,1,0,0,1,0,0,State-New York
1353,152614,0,1,45,0,0,1,0,0,0,0,0,1,State-Texas
1354,135684,1,0,36,0,1,0,0,0,0,0,0,0,State-Other
1355,148178,1,1,45,0,1,0,0,0,0,1,0,0,State-California
1356,129548,1,0,50,0,0,1,0,0,0,0,1,0,State-Florida
1357,163810,0,1,54,0,0,1,0,0,0,1,0,0,State-Illinois
1358,138578,1,1,48,0,0,1,0,0,0,0,0,1,State-New York
1359,146098,1,1,45,0,0,1,0,0,0,0,1,0,State-Texas
1360,122585,0,0,50,0,0,1,0,0,0,1,0,0,State-Other
1361,130279,1,0,31,0,0,1,0,0,0,1,0,0,State-California
1362,166426,0,1,59,0,0,0,1,0,0,0,0,1,State-Florida
1363,130822,1,0,51,0,0,1,0,0,0,1,0,0,State-Illinois
1364,133581,2,0,51,0,1,0,0,0,0,0,0,1,State-New York
1365,119986,1,0,35,0,1,0,0,0,0,1,0,0,State-Texas
1366,127421,0,0,66,0,0,0,0,1,0,1,0,0,State-Other
1367,135688,2,1,47,0,1,0,0,0,0,0,0,0,State-California
1368,136143,1,0,39,0,0,1,0,0,0,0,1,0,State-Florida
1369,110245,1,0,49,0,0,1,0,0,0,1,0,0,State-Illinois
1370,143795,0,1,52,0,0,0,1,0,0,0,1,0,State-New York
1371,163381,0,1,60,0,0,0,1,0,0,1,0,0,State-Texas
1372,138823,0,1,71,0,0,0,1,0,0,1,0,0,State-Other
1373,183664,1,1,52,1,0,0,0,0,0,0,0,1,State-California
1374,190300,0,0,41,0,0,0,1,0,0,1,0,0,State-Florida
1375,162499,1,0,41,0,0,0,1,0,0,0,1,0,State-Illinois
1376,174293,0,0,27,0,0,1,0,0,0,1,0,0,State-New York
1377,151012,0,0,74,0,1,0,0,0,0,0,0,1,State-Texas
1378,170777,0,1,52,0,1,0,0,0,0,0,1,0,State-Other
1379,168682,0,0,29,0,0,0,1,0,0,0,0,1,State-California
1380,143824,1,1,49,0,1,0,0,0,0,1,0,0,State-Florida
1381,115345,1,0,36,0,0,0,1,0,0,1,0,0,State-Illinois
1382,123442,1,0,33,0,0,1,0,0,0,1,0,0,State-New York
1383,114515,1,0,40,0,0,0,1,0,0,0,0,0,State-Texas
1384,131395,1,1,64,1,0,0,0,0,0,0,0,0,State-Other
1385,175276,0,0,55,0,0,0,1,0,0,1,0,0,State-California
1386,142373,1,1,46,0,0,1,0,0,0,1,0,0,State-Florida
1387,130507,0,0,60,0,0,0,1,0,0,1,0,0,State-Illinois
1388,155521,1,2,65,0,0,1,0,0,0,0,0,1,State-New York
1389,148006,1,1,55,0,1,0,0,0,0,1,0,0,State-Texas
1390,127213,1,0,48,0,0,1,0,0,0,0,0,1,State-Other
1391,165808,1,1,49,1,0,0,0,0,0,0,0,1,State-California
